model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-08-01T12:00:00+00:00,48,13,basin_to_05EA002,2.950000047683716,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,13,lower_incremental_05EA005_to_05EA002,2.950000047683716,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,13,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,14,basin_to_05EA002,12.72499942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,14,lower_incremental_05EA005_to_05EA002,12.72499942779541,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,14,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,15,basin_to_05EA002,12.75999927520752,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,15,lower_incremental_05EA005_to_05EA002,12.75999927520752,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,15,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,16,basin_to_05EA002,9.84000015258789,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,16,lower_incremental_05EA005_to_05EA002,9.84000015258789,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,16,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,17,basin_to_05EA002,17.5,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,17,lower_incremental_05EA005_to_05EA002,17.5,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,17,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,18,basin_to_05EA002,12.975000381469727,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,18,lower_incremental_05EA005_to_05EA002,12.975000381469727,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,18,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,19,basin_to_05EA002,10.420000076293945,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,19,lower_incremental_05EA005_to_05EA002,10.420000076293945,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,19,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,20,basin_to_05EA002,12.019999504089355,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,20,lower_incremental_05EA005_to_05EA002,12.019999504089355,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,20,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,21,basin_to_05EA002,5.079999923706055,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,21,lower_incremental_05EA005_to_05EA002,5.079999923706055,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,48,21,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P048_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,1,basin_to_05EA002,5.099999904632568,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,1,lower_incremental_05EA005_to_05EA002,5.099999904632568,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,1,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,2,basin_to_05EA002,5.96999979019165,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,2,lower_incremental_05EA005_to_05EA002,5.96999979019165,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,2,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,3,basin_to_05EA002,10.429999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
GEPS,2026-08-01T12:00:00+00:00,72,3,lower_incremental_05EA005_to_05EA002,10.429999351501465,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026080112_P072_allmbrs.grib2
