date_utc,stage_m,discharge_m3s,stage_change_6h_m,stage_change_24h_m,q_change_6h_m3s,q_change_24h_m3s,stage_rate_m_per_day,q_rate_m3s_per_day,limb,season,year,rain_24h_mm,rain_24h_coverage,rain_24h_max6h_mm,rain_72h_mm,rain_72h_coverage,rain_72h_max6h_mm,rain_168h_mm,rain_168h_coverage,rain_168h_max6h_mm,complete_168h_coverage
2026-08-07 13:00:00+00:00,1.829,8.05,-0.01200000000000001,-0.050999999999999934,-0.11999999999999922,-0.5299999999999994,-0.04800000000000004,-0.4799999999999969,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 14:00:00+00:00,1.828,8.03,-0.010000000000000009,-0.051999999999999824,-0.11000000000000121,-0.5500000000000007,-0.040000000000000036,-0.44000000000000483,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 15:00:00+00:00,1.827,8.02,-0.009000000000000119,-0.0475000000000001,-0.09999999999999964,-0.504999999999999,-0.036000000000000476,-0.3999999999999986,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 16:00:00+00:00,1.825,8.0,-0.010000000000000009,-0.04700000000000015,-0.10999999999999943,-0.4900000000000002,-0.040000000000000036,-0.4399999999999977,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 17:00:00+00:00,1.823,7.98,-0.010000000000000009,-0.04800000000000004,-0.10999999999999943,-0.5,-0.040000000000000036,-0.4399999999999977,falling,summer,2026,0.0,1.0,0.0,6.6200319860488115,1.0,5.545141543660845,19.046949831784115,1.0,5.545141543660845,True
2026-08-07 18:00:00+00:00,1.823,7.98,-0.008000000000000007,-0.04600000000000004,-0.08999999999999986,-0.4800000000000004,-0.03200000000000003,-0.35999999999999943,falling,summer,2026,9.04761864581988e-05,1.0,9.04761864581988e-05,6.620054605095427,1.0,5.545141543660845,19.044545069967473,1.0,5.545141543660845,True
2026-08-07 19:00:00+00:00,1.821,7.96,-0.008000000000000007,-0.049000000000000155,-0.09000000000000075,-0.5100000000000007,-0.03200000000000003,-0.360000000000003,falling,summer,2026,9.04761864581988e-05,1.0,9.04761864581988e-05,6.620054605095427,1.0,5.545141543660845,19.044545069967473,1.0,5.545141543660845,True
2026-08-07 20:00:00+00:00,1.819,7.94,-0.009000000000000119,-0.04800000000000004,-0.08999999999999897,-0.4999999999999991,-0.036000000000000476,-0.3599999999999959,falling,summer,2026,9.04761864581988e-05,1.0,9.04761864581988e-05,6.620054605095427,1.0,5.545141543660845,19.044545069967473,1.0,5.545141543660845,True
2026-08-07 21:00:00+00:00,1.818,7.93,-0.008999999999999897,-0.04400000000000004,-0.08999999999999986,-0.46000000000000085,-0.03599999999999959,-0.35999999999999943,falling,summer,2026,9.04761864581988e-05,1.0,9.04761864581988e-05,6.620054605095427,1.0,5.545141543660845,19.044545069967473,1.0,5.545141543660845,True
2026-08-07 22:00:00+00:00,1.8155000000000001,7.905,-0.009499999999999842,-0.04149999999999987,-0.09499999999999975,-0.4349999999999996,-0.03799999999999937,-0.379999999999999,falling,summer,2026,9.04761864581988e-05,1.0,9.04761864581988e-05,6.620054605095427,1.0,5.545141543660845,19.044545069967473,1.0,5.545141543660845,True
