model,run_time_utc,horizon_h,member_index,subarea,cumulative_mm,source_file
GEPS,2026-07-29T12:00:00+00:00,48,6,lower_incremental_05EA005_to_05EA002,0.42499998211860657,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,6,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,7,basin_to_05EA002,2.944999933242798,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,7,lower_incremental_05EA005_to_05EA002,2.944999933242798,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,7,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,8,basin_to_05EA002,0.044999998062849045,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,8,lower_incremental_05EA005_to_05EA002,0.044999998062849045,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,8,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,9,basin_to_05EA002,0.2199999988079071,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,9,lower_incremental_05EA005_to_05EA002,0.2199999988079071,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,9,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,10,basin_to_05EA002,0.7299999594688416,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,10,lower_incremental_05EA005_to_05EA002,0.7299999594688416,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,10,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,11,basin_to_05EA002,1.350000023841858,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,11,lower_incremental_05EA005_to_05EA002,1.350000023841858,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,11,upper_lake_chain_isle_lac_ste_anne,,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
GEPS,2026-07-29T12:00:00+00:00,48,12,basin_to_05EA002,0.19999998807907104,CMC_geps-raw_APCP_SFC_0_latlon0p5x0p5_2026072912_P048_allmbrs.grib2
